table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
active_agency,"One row per prison that has ever been switched on for managing property in DPS rather than NOMIS. The list is published on the public actuator /info payload, which is how the front end decides whether to offer the service at a prison. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent.",agency_id,1,character varying,6,NO,,Primary key. Agency (prison) code.,NONE,Y,
active_agency,"One row per prison that has ever been switched on for managing property in DPS rather than NOMIS. The list is published on the public actuator /info payload, which is how the front end decides whether to offer the service at a prison. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent.",active,2,boolean,,NO,true,Whether the prison is currently switched on. False means it was switched on at some point and has since been switched off.,NONE,N,
active_agency,"One row per prison that has ever been switched on for managing property in DPS rather than NOMIS. The list is published on the public actuator /info payload, which is how the front end decides whether to offer the service at a prison. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent.",updated_at,3,timestamp without time zone,,NO,,When the prison was last switched on or off.,NONE,N,
active_agency,"One row per prison that has ever been switched on for managing property in DPS rather than NOMIS. The list is published on the public actuator /info payload, which is how the front end decides whether to offer the service at a prison. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent.",updated_by,4,character varying,64,NO,,DPS username of the member of staff who last changed the switch. Identifies a member of staff.,STAFF,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",legacy_cleanup_job_id,2,uuid,,NO,,The job this item belongs to.,NONE,N,legacy_cleanup_job
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",property_container_id,3,uuid,,NO,,The container to close.,NONE,N,property_container
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",prisoner_number,4,character varying,10,NO,,"The prisoner number the container belonged to when the job was requested, so the item can be re-checked against prisoner-search without loading the container. Identifies a prisoner.",PERSONAL,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",action,5,character varying,16,NO,,RETURN (the person was released: mark returned) or TRANSFER (the person is at another prison: mark transferred there).,NONE,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",planned_event_date,6,date,,NO,,"The date the closing event will be dated to: the release date, or the date the person left this prison. Taken from prisoner-search when the job was requested.",PERSONAL,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",planned_to_prison_id,7,character varying,6,YES,,"For TRANSFER, the prison the person is now at, which becomes the destination on the TRANSFERRED event. Null for RETURN. Locates a prisoner.",PERSONAL,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",status,8,character varying,16,NO,,"PENDING, PROCESSED (the container was closed), SKIPPED (already removed, or no longer qualified on re-check) or FAILED (an error; the container is unchanged).",NONE,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",message,9,character varying,255,YES,,"Why the item was skipped or failed, or a note that the domain event could not be published after the change was committed. Null when processed cleanly.",NONE,N,
legacy_cleanup_item,"One container a legacy clean-up job intends to close, snapshotted with the action decided at request time. Processed one per transaction; the status records what happened to it.",processed_at,10,timestamp without time zone,,YES,,When the item reached its final status. Null while PENDING.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",prison_id,2,character varying,6,NO,,The prison whose held property is being cleaned up.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",status,3,character varying,16,NO,,"PENDING (requested, not yet claimed by a listener), STARTED (being processed) or FINISHED. A partial unique index allows one PENDING or STARTED job per prison.",NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",older_than_days,4,integer,,NO,,The look-back window the admin chose: only people who left at least this many days before the request are in scope.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",cutoff_date,5,date,,NO,,The request date minus older_than_days; a person must have left on or before this date to be in scope. Stored so the rule the job applied is reproducible.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",requested_by,6,character varying,64,NO,,"DPS username of the admin who requested the run. The property events the run writes are attributed to the LEGACY_CLEANUP system user, so this is the only record of who asked for them.",STAFF,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",requested_at,7,timestamp without time zone,,NO,,When the run was requested.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",start_time,8,timestamp without time zone,,YES,,When a listener first claimed the job and began processing. Null while PENDING.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",last_activity_at,9,timestamp without time zone,,YES,,When the job last made progress. A STARTED job with no activity for 30 minutes is treated as abandoned (its pod died) and may be re-claimed by a redelivered message; only unprocessed items are then resumed.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",end_time,10,timestamp without time zone,,YES,,When processing finished. Null until FINISHED.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",total_records,11,integer,,NO,0,How many containers were snapshotted as items when the job was requested.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",returned_records,12,integer,,NO,0,How many items have been marked RETURNED so far.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",transferred_records,13,integer,,NO,0,How many items have been marked TRANSFERRED so far.,NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",skipped_records,14,integer,,NO,0,"How many items were skipped: the container had already been removed by staff, or the person no longer qualified when re-checked against prisoner-search at processing time.",NONE,N,
legacy_cleanup_job,"One admin-requested run of the legacy property clean-up for a prison: closes containers still held there for people released or transferred out before a cut-off date, marking each RETURNED or TRANSFERRED. Processed asynchronously from an SQS work queue, one container per transaction; the counters are updated as it goes so progress can be watched.",failed_records,15,integer,,NO,0,How many items failed with an error; the container was left unchanged and the message on the item says why.,NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",id,1,uuid,,NO,,"Primary key. Time-ordered UUID v7, so insert order matches id order.",NONE,Y,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",prisoner_number,2,character varying,10,NO,,NOMIS offender number (noms id) of the prisoner whose property this is. The link that makes every row here personal data about that prisoner. Reassigned when NOMIS merges two prisoner numbers for the same person: the containers move to the surviving number and the retired one survives only as removedNomsNumber on the resulting domain event.,PERSONAL,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",prison_id,3,character varying,6,NO,,"Agency (prison) code holding the container. Read with prisoner_number it indicates where that prisoner's property is, and normally where the prisoner is. Not reassigned on a transfer out - the receiving prison creates its own record.",PERSONAL,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",container_type,4,character varying,20,NO,,"What kind of property the container holds. One of STANDARD, EXCESS, VALUABLES, CONFISCATED.",NONE,N,
